split,scenario_id,scenario_file,materials,order_steps,material_type_counts,order_step_type_counts,feasible_matches_total,allocatable_matches,non_allocatable_matches,scored_matches,above_threshold_matches,unique_assignable_order_steps,unique_assignable_materials,failed_rule_counts,greedy_assignments_selected,greedy_total_match_score,greedy_total_penalty,greedy_total_bonus,greedy_total_score
train,train_013,train_013.json,15,8,"{""BR"": 12, ""RG"": 3}","{""HR"": 8}",120,23,97,23,6,4,5,"{""dimension_mismatch"": 97, ""type_pair_not_allowed"": 24}",3,0.11666666666666659,10.0,30.0,20.116666666666667
train,train_014,train_014.json,17,8,"{""BR"": 14, ""RG"": 3}","{""HR"": 8}",136,22,114,22,3,2,3,"{""dimension_mismatch"": 114, ""type_pair_not_allowed"": 24}",2,0.04999999999999999,12.0,20.0,8.05
train,train_015,train_015.json,17,8,"{""BR"": 13, ""RG"": 4}","{""HR"": 8}",136,23,113,23,2,2,1,"{""dimension_mismatch"": 113, ""type_pair_not_allowed"": 32}",1,0.08333333333333337,14.0,10.0,-3.916666666666666
train,train_016,train_016.json,17,8,"{""BR"": 11, ""RG"": 6}","{""HR"": 8}",136,23,113,23,6,3,6,"{""dimension_mismatch"": 113, ""type_pair_not_allowed"": 48}",3,0.43333333333333335,10.0,30.0,20.433333333333334
train,train_017,train_017.json,16,8,"{""BR"": 14, ""RG"": 2}","{""HR"": 8}",128,20,108,20,5,3,4,"{""dimension_mismatch"": 108, ""type_pair_not_allowed"": 16}",2,0.44999999999999996,12.0,20.0,8.45
train,train_018,train_018.json,18,8,"{""BR"": 17, ""RG"": 1}","{""HR"": 8}",144,24,120,24,9,5,7,"{""dimension_mismatch"": 120, ""type_pair_not_allowed"": 8}",5,0.6999999999999998,6.0,50.0,44.7
train,train_019,train_019.json,17,8,"{""BR"": 13, ""RG"": 4}","{""HR"": 8}",136,23,113,23,5,2,5,"{""dimension_mismatch"": 113, ""type_pair_not_allowed"": 32}",2,0.30000000000000004,12.0,20.0,8.3
train,train_020,train_020.json,16,8,"{""BR"": 15, ""RG"": 1}","{""HR"": 8}",128,22,106,22,10,5,7,"{""dimension_mismatch"": 106, ""type_pair_not_allowed"": 8}",5,0.8833333333333333,6.0,50.0,44.88333333333333
train,train_021,train_021.json,20,8,"{""BR"": 17, ""RG"": 3}","{""HR"": 8}",160,22,138,22,11,5,7,"{""dimension_mismatch"": 138, ""type_pair_not_allowed"": 24}",5,0.5166666666666665,6.0,50.0,44.516666666666666
train,train_022,train_022.json,19,8,"{""BR"": 15, ""RG"": 4}","{""HR"": 8}",152,21,131,21,5,3,3,"{""dimension_mismatch"": 131, ""type_pair_not_allowed"": 32}",3,0.18333333333333324,10.0,30.0,20.183333333333334
train,train_023,train_023.json,20,8,"{""BR"": 16, ""RG"": 4}","{""HR"": 8}",160,23,137,23,2,1,2,"{""dimension_mismatch"": 137, ""type_pair_not_allowed"": 32}",1,0.0,14.0,10.0,-4.0
train,train_024,train_024.json,14,8,"{""BR"": 11, ""RG"": 3}","{""HR"": 8}",112,22,90,22,6,3,4,"{""dimension_mismatch"": 90, ""type_pair_not_allowed"": 24}",3,0.3666666666666667,10.0,30.0,20.366666666666667
train,train_025,train_025.json,14,8,"{""BR"": 14}","{""HR"": 8}",112,22,90,22,4,2,4,"{""dimension_mismatch"": 90}",2,0.44999999999999996,12.0,20.0,8.45
train,train_026,train_026.json,15,8,"{""BR"": 12, ""RG"": 3}","{""HR"": 8}",120,23,97,23,10,6,7,"{""dimension_mismatch"": 97, ""type_pair_not_allowed"": 24}",5,0.2499999999999999,6.0,50.0,44.25
train,train_027,train_027.json,16,8,"{""BR"": 11, ""RG"": 5}","{""HR"": 8}",128,22,106,22,8,4,6,"{""dimension_mismatch"": 106, ""type_pair_not_allowed"": 40}",4,0.41666666666666663,8.0,40.0,32.416666666666664
train,train_028,train_028.json,19,8,"{""BR"": 17, ""RG"": 2}","{""HR"": 8}",152,22,130,22,1,1,1,"{""dimension_mismatch"": 130, ""type_pair_not_allowed"": 16}",1,5.551115123125783e-17,14.0,10.0,-4.0
train,train_029,train_029.json,20,8,"{""BR"": 17, ""RG"": 3}","{""HR"": 8}",160,22,138,22,5,3,5,"{""dimension_mismatch"": 138, ""type_pair_not_allowed"": 24}",3,0.4999999999999999,10.0,30.0,20.5
train,train_030,train_030.json,14,8,"{""BR"": 11, ""RG"": 3}","{""HR"": 8}",112,22,90,22,2,2,1,"{""dimension_mismatch"": 90, ""type_pair_not_allowed"": 24}",1,0.0,14.0,10.0,-4.0
train,train_031,train_031.json,14,8,"{""BR"": 12, ""RG"": 2}","{""HR"": 8}",112,22,90,22,4,3,4,"{""dimension_mismatch"": 90, ""type_pair_not_allowed"": 16}",3,0.15000000000000002,10.0,30.0,20.15
train,train_032,train_032.json,22,8,"{""BR"": 19, ""RG"": 3}","{""HR"": 8}",176,25,151,25,4,3,4,"{""dimension_mismatch"": 151, ""type_pair_not_allowed"": 24}",3,0.04999999999999999,10.0,30.0,20.05
train,train_033,train_033.json,18,8,"{""BR"": 14, ""RG"": 4}","{""HR"": 8}",144,19,125,19,3,2,3,"{""dimension_mismatch"": 125, ""type_pair_not_allowed"": 32}",2,0.04999999999999993,12.0,20.0,8.05
train,train_034,train_034.json,14,8,"{""BR"": 8, ""RG"": 6}","{""HR"": 8}",112,23,89,23,11,5,6,"{""dimension_mismatch"": 89, ""type_pair_not_allowed"": 48}",5,0.8666666666666667,6.0,50.0,44.86666666666667
val,val_000,val_000.json,14,8,"{""BR"": 9, ""RG"": 5}","{""HR"": 8}",112,21,91,21,6,3,4,"{""dimension_mismatch"": 91, ""type_pair_not_allowed"": 40}",3,0.16666666666666652,10.0,30.0,20.166666666666664
val,val_001,val_001.json,19,8,"{""BR"": 14, ""RG"": 5}","{""HR"": 8}",152,25,127,25,6,4,5,"{""dimension_mismatch"": 127, ""type_pair_not_allowed"": 40}",3,0.43333333333333335,10.0,30.0,20.433333333333334
val,val_002,val_002.json,19,8,"{""BR"": 16, ""RG"": 3}","{""HR"": 8}",152,25,127,25,9,4,9,"{""dimension_mismatch"": 127, ""type_pair_not_allowed"": 24}",4,0.5499999999999998,8.0,40.0,32.55
val,val_003,val_003.json,15,8,"{""BR"": 11, ""RG"": 4}","{""HR"": 8}",120,24,96,24,2,1,2,"{""dimension_mismatch"": 96, ""type_pair_not_allowed"": 32}",1,0.0,14.0,10.0,-4.0
val,val_004,val_004.json,18,8,"{""BR"": 15, ""RG"": 3}","{""HR"": 8}",144,21,123,21,9,5,7,"{""dimension_mismatch"": 123, ""type_pair_not_allowed"": 24}",5,0.5666666666666667,6.0,50.0,44.56666666666666
val,val_005,val_005.json,18,8,"{""BR"": 16, ""RG"": 2}","{""HR"": 8}",144,21,123,21,3,2,3,"{""dimension_mismatch"": 123, ""type_pair_not_allowed"": 16}",2,0.04999999999999993,12.0,20.0,8.05
val,val_006,val_006.json,15,8,"{""BR"": 12, ""RG"": 3}","{""HR"": 8}",120,24,96,24,6,3,6,"{""dimension_mismatch"": 96, ""type_pair_not_allowed"": 24}",3,0.11666666666666659,10.0,30.0,20.116666666666667
val,val_007,val_007.json,20,8,"{""BR"": 18, ""RG"": 2}","{""HR"": 8}",160,26,134,26,5,3,5,"{""dimension_mismatch"": 134, ""type_pair_not_allowed"": 16}",3,0.04999999999999999,10.0,30.0,20.05
val,val_008,val_008.json,16,8,"{""BR"": 13, ""RG"": 3}","{""HR"": 8}",128,22,106,22,3,2,3,"{""dimension_mismatch"": 106, ""type_pair_not_allowed"": 24}",2,0.06666666666666671,12.0,20.0,8.066666666666666
val,val_009,val_009.json,17,8,"{""BR"": 14, ""RG"": 3}","{""HR"": 8}",136,21,115,21,5,4,4,"{""dimension_mismatch"": 115, ""type_pair_not_allowed"": 24}",3,5.551115123125783e-17,10.0,30.0,20.0
test,test_000,test_000.json,16,8,"{""BR"": 13, ""RG"": 3}","{""HR"": 8}",128,22,106,22,2,1,2,"{""dimension_mismatch"": 106, ""type_pair_not_allowed"": 24}",1,0.04999999999999993,14.0,10.0,-3.9499999999999993
test,test_001,test_001.json,15,8,"{""BR"": 10, ""RG"": 5}","{""HR"": 8}",120,24,96,24,8,4,6,"{""dimension_mismatch"": 96, ""type_pair_not_allowed"": 40}",4,0.45000000000000007,8.0,40.0,32.45
test,test_002,test_002.json,14,8,"{""BR"": 10, ""RG"": 4}","{""HR"": 8}",112,22,90,22,9,5,6,"{""dimension_mismatch"": 90, ""type_pair_not_allowed"": 32}",4,0.5,8.0,40.0,32.5
test,test_003,test_003.json,19,8,"{""BR"": 16, ""RG"": 3}","{""HR"": 8}",152,21,131,21,11,5,6,"{""dimension_mismatch"": 131, ""type_pair_not_allowed"": 24}",5,0.9333333333333332,6.0,50.0,44.93333333333334
test,test_004,test_004.json,21,8,"{""BR"": 18, ""RG"": 3}","{""HR"": 8}",168,23,145,23,3,2,3,"{""dimension_mismatch"": 145, ""type_pair_not_allowed"": 24}",2,0.04999999999999993,12.0,20.0,8.05
test,test_005,test_005.json,18,8,"{""BR"": 14, ""RG"": 4}","{""HR"": 8}",144,21,123,21,4,3,3,"{""dimension_mismatch"": 123, ""type_pair_not_allowed"": 32}",2,0.15000000000000002,12.0,20.0,8.15
test,test_006,test_006.json,19,8,"{""BR"": 18, ""RG"": 1}","{""HR"": 8}",152,22,130,22,5,3,5,"{""dimension_mismatch"": 130, ""type_pair_not_allowed"": 8}",3,0.04999999999999993,10.0,30.0,20.05
test,test_007,test_007.json,14,8,"{""BR"": 10, ""RG"": 4}","{""HR"": 8}",112,21,91,21,7,3,5,"{""dimension_mismatch"": 91, ""type_pair_not_allowed"": 32}",3,0.5499999999999998,10.0,30.0,20.55
test,test_008,test_008.json,14,8,"{""BR"": 10, ""RG"": 4}","{""HR"": 8}",112,23,89,23,5,2,5,"{""dimension_mismatch"": 89, ""type_pair_not_allowed"": 32}",2,0.4999999999999999,12.0,20.0,8.5
test,test_009,test_009.json,14,8,"{""BR"": 11, ""RG"": 3}","{""HR"": 8}",112,23,89,23,6,3,6,"{""dimension_mismatch"": 89, ""type_pair_not_allowed"": 24}",3,0.35000000000000003,10.0,30.0,20.35
test,test_010,test_010.json,13,8,"{""BR"": 9, ""RG"": 4}","{""HR"": 8}",104,20,84,20,6,3,6,"{""dimension_mismatch"": 84, ""type_pair_not_allowed"": 32}",3,0.35,10.0,30.0,20.35
test,test_011,test_011.json,16,8,"{""BR"": 13, ""RG"": 3}","{""HR"": 8}",128,26,102,26,5,2,5,"{""dimension_mismatch"": 102, ""type_pair_not_allowed"": 24}",2,0.4999999999999999,12.0,20.0,8.5
test,test_012,test_012.json,16,8,"{""BR"": 14, ""RG"": 2}","{""HR"": 8}",128,22,106,22,7,4,7,"{""dimension_mismatch"": 106, ""type_pair_not_allowed"": 16}",4,0.5833333333333333,8.0,40.0,32.583333333333336
test,test_013,test_013.json,16,8,"{""BR"": 13, ""RG"": 3}","{""HR"": 8}",128,25,103,25,3,2,3,"{""dimension_mismatch"": 103, ""type_pair_not_allowed"": 24}",2,5.551115123125783e-17,12.0,20.0,8.0
test,test_014,test_014.json,18,8,"{""BR"": 15, ""RG"": 3}","{""HR"": 8}",144,24,120,24,8,4,6,"{""dimension_mismatch"": 120, ""type_pair_not_allowed"": 24}",4,0.6166666666666665,8.0,40.0,32.61666666666667
