split,scenario_id,scenario_file,mat_type_code,prod_step_type_code,total_matches,allocatable_matches,non_allocatable_matches,scored_matches,threshold_matches,avg_score,min_score,max_score,failed_rule_names
val,val_008,val_008.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
val,val_009,val_009.json,BR,HR,112,21,91,21,5,-0.3126984126984128,-0.65,5.551115123125783e-17,"{""dimension_mismatch"": 91}"
val,val_009,val_009.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
test,test_000,test_000.json,BR,HR,104,22,82,22,2,-0.4333333333333334,-0.65,0.04999999999999993,"{""dimension_mismatch"": 82}"
test,test_000,test_000.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
test,test_001,test_001.json,BR,HR,80,24,56,24,8,-0.20138888888888892,-0.8166666666666667,0.30000000000000004,"{""dimension_mismatch"": 56}"
test,test_001,test_001.json,RG,HR,40,0,40,0,0,,,,"{""dimension_mismatch"": 40, ""type_pair_not_allowed"": 40}"
test,test_002,test_002.json,BR,HR,80,22,58,22,9,-0.17803030303030307,-0.7166666666666667,0.30000000000000004,"{""dimension_mismatch"": 58}"
test,test_002,test_002.json,RG,HR,32,0,32,0,0,,,,"{""dimension_mismatch"": 32, ""type_pair_not_allowed"": 32}"
test,test_003,test_003.json,BR,HR,128,21,107,21,11,-0.09523809523809526,-0.65,0.44999999999999996,"{""dimension_mismatch"": 107}"
test,test_003,test_003.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
test,test_004,test_004.json,BR,HR,144,23,121,23,3,-0.4384057971014494,-0.7166666666666667,0.04999999999999993,"{""dimension_mismatch"": 121}"
test,test_004,test_004.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
test,test_005,test_005.json,BR,HR,112,21,91,21,4,-0.2285714285714286,-0.65,0.08333333333333337,"{""dimension_mismatch"": 91}"
test,test_005,test_005.json,RG,HR,32,0,32,0,0,,,,"{""dimension_mismatch"": 32, ""type_pair_not_allowed"": 32}"
test,test_006,test_006.json,BR,HR,144,22,122,22,5,-0.36060606060606076,-0.8166666666666667,0.04999999999999993,"{""dimension_mismatch"": 122}"
test,test_006,test_006.json,RG,HR,8,0,8,0,0,,,,"{""dimension_mismatch"": 8, ""type_pair_not_allowed"": 8}"
test,test_007,test_007.json,BR,HR,80,21,59,21,7,-0.2793650793650794,-0.65,0.44999999999999996,"{""dimension_mismatch"": 59}"
test,test_007,test_007.json,RG,HR,32,0,32,0,0,,,,"{""dimension_mismatch"": 32, ""type_pair_not_allowed"": 32}"
test,test_008,test_008.json,BR,HR,80,23,57,23,5,-0.4166666666666669,-0.8166666666666667,0.44999999999999996,"{""dimension_mismatch"": 57}"
test,test_008,test_008.json,RG,HR,32,0,32,0,0,,,,"{""dimension_mismatch"": 32, ""type_pair_not_allowed"": 32}"
test,test_009,test_009.json,BR,HR,88,23,65,23,6,-0.3072463768115942,-0.65,0.30000000000000004,"{""dimension_mismatch"": 65}"
test,test_009,test_009.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
test,test_010,test_010.json,BR,HR,72,20,52,20,6,-0.29583333333333334,-0.7166666666666667,0.30000000000000004,"{""dimension_mismatch"": 52}"
test,test_010,test_010.json,RG,HR,32,0,32,0,0,,,,"{""dimension_mismatch"": 32, ""type_pair_not_allowed"": 32}"
test,test_011,test_011.json,BR,HR,104,26,78,26,5,-0.38974358974358986,-0.8166666666666667,0.44999999999999996,"{""dimension_mismatch"": 78}"
test,test_011,test_011.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
test,test_012,test_012.json,BR,HR,112,22,90,22,7,-0.2606060606060607,-0.8166666666666667,0.44999999999999996,"{""dimension_mismatch"": 90}"
test,test_012,test_012.json,RG,HR,16,0,16,0,0,,,,"{""dimension_mismatch"": 16, ""type_pair_not_allowed"": 16}"
test,test_013,test_013.json,BR,HR,104,25,79,25,3,-0.3353333333333335,-0.65,5.551115123125783e-17,"{""dimension_mismatch"": 79}"
test,test_013,test_013.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
test,test_014,test_014.json,BR,HR,120,24,96,24,8,-0.22708333333333333,-0.7166666666666667,0.44999999999999996,"{""dimension_mismatch"": 96}"
test,test_014,test_014.json,RG,HR,24,0,24,0,0,,,,"{""dimension_mismatch"": 24, ""type_pair_not_allowed"": 24}"
